S/N,DATE,NAME_OF_ENTITY,NATURE_OF_BUSINESS,BUSINESS_PROJECT,CONTACT_NAME_PHONE_EMAIL_OF_PROMOTER,PROPOSED_FACILITY_AMOUNT,PURPOSE_OF_FACILITY,VALUE_CHAIN_CATEGORY,NAME_OF_BANK,BORROWING_RELATIONSHIP,FRESH_LOAN_REQUEST,REQUEST_SUBMITTED_TO_BANK,SECURITY_PROPOSED,FEASIBILITY_STUDY_AVAILABLE,HIGHLIGHTS_OF_DISCUSSION,RM_BM_NAME_PHONE_NUMBER,RM_BM_EMAIL,STATUS_UPDATE,CHALLENGES,PROPOSED_NEXT_STEPS,STATE,TARGET
1,1/2/2023,COM10001,RICE PROCESSING,EXISTING,OB10001,2000000000,WORKING CAPITAL ENHANCEMENT,MIDSTREAM,FIDELITY BANK PLC,YES,YES,YES,NIL,YES,,,,WE AREAWAITING CREDIT COMMITY DECITION ON WEATH OR NOT TO APPROVE THE CLIENT CRG FACILITY APPLICATION,NONE,,ADAMAWA,1
2,1/2/2023,COM10002,FERTILIZER DISTRIBUTION ACROSS ADAMAWA,EXISTING,OB10002,50000000,WORKING CAPITAL ENHANCEMENT,PRE-UPSTREAM,FIDELITY BANK PLC,YES,YES,YES,NIL,YES,NIL,NIL,NIL,WE ARE CURRENTLY WAITING FOR THE CLIENT TO CHOSE ANOTHER FERTERLIZER PRODUCER TO SECURE ,"THE CLIENT IS ONLY WILLING TO DISTRIBUTE CRYSTLIZER FERTILIZER BECAUSE ITS THE ONLY FERTILIZER THAT GIVES HIM 100% COPETETIVE ADVANTAGE IN THE REGION, OWING TO ITS AFFORDABILITY AND LACK OF DISTRIBUTORS IN THE RIGION, HOWEVER, THE FERTILIZER MANUFACTURER HAS NOT YET BEEN ONBORDED ON NIL PLATFORM",ONBOARD,ADAMAWA,1
3,1/2/2023,COM10003,BULL FEED FINISHING,EXISTING,OB10003,9000000,WORKING CAPITAL ENHANCEMENT,UPSTREAM,STANBIC IBTC,YES,YES,YES,EQUITY CONTRIBUTION,YES,NIL,NIL,NIL,,,,ADAMAWA,1
4,1/2/2023,COM10004,BULL FEED FINISHING,EXISTING,OB10004,100000,WORKING CAPITAL ENHANCEMENT,UPSTREAM,STANBIC IBTC,YES,YES,YES,EQUITY CONTRIBUTION,YES,NIL,NIL,NIL,,,,ADAMAWA,0
5,1/2/2023,COM10005,BULL FEED FINISHING,EXISTING,OB10005,5000000,WORKING CAPITAL ENHANCEMENT,UPSTREAM,STANBIC IBTC,YES,YES,YES,EQUITY CONTRIBUTION,YES,NIL,NIL,NIL,,,,ADAMAWA,1
6,2/2/2023,COM10006,BULL FEED FINISHING,EXISTING,OB10006,50000000,WORKING CAPITAL ENHANCEMENT,UPSTREAM,STANBIC IBTC,YES,YES,YES,EQUITY CONTRIBUTION,YES,NIL,NIL,NIL,,,,ADAMAWA,1
7,2/2/2023,COM10007,PROCESSING ,EXISTING,OB10007,500000000,EXPANSION OF FACTORY AND WORKING CAPITAL ENHANCEMENT ,MIDSTREAM,WEMA BANK,YES,YES,YES,EQUITY CONTRIBUTION,YES,NIL,NIL,NIL,The promoter is still waiting for bank further action ,scarcity of paddy and high cost of purchase ,Factory is proposing its own primary production of rice to avoid speculators.,BAUCHI,1
8,2/2/2023,COM10008,PROCESSING ,EXISTING,OB10008,50000000,EXPANSION ,MIDSTREAM,STERLING BANK ,NO,YES,NO,FACTORY ,YES,NIL,NIL,NIL,The bank asked the promoter to submit his financials and audited account for further action ,The Bank is having challenges of Loan default and now slow down it's process till defaulters comply. ,We are considering Jaiz bank if nothing has been done by the end of March.,BAUCHI,0
9,1/2/2023,COM10009,PRODUCE AGGREGATION ,EXISTING,OB10009,50000000,EXPANSION ,MIDSTREAM,STERLING BANK ,NO,YES,NO,LANDED PROPERTY ,YES,NIL,NIL,NIL,The promoter is working on his financials,,Encourage the customer to hasten the process of financials and other requirements.,BAUCHI,0
10,1/2/2023,COM10010,Animal (chicken/fish) feed dealer,EXISTING,OB10010,50000000,Expansion of Animal Feeds Business,UPSTREAM,Stanbic IBTC,NO,YES,YES,,NO,NIL,NIL,NIL,The Transaction at sterling bank is still on a hold as the staff in charge at the Agic desk help is still unable to proceed with the transaction due to the fact that he lost his details in computer so trying to recover to continue with the Transaction.,The Challenges faced in some transaction is mainly on high interest and equity fee being paid by the Obligor,We the CRG desk officer have decided to introduce the transaction to a suitable bank ready to continue with the transaction.,BORNO,0
11,1/2/2023,COM10011,fertilizer Distribution,EXISTING,OB10011,500000000,Working capital for Fertilizer business ,PRE-UPSTREAM,Sterling Bank,NO,YES,YES,Equity Contribution/CRG Fee,NO,NIL,NIL,NIL,Offer Letter and all relevant documents has being signed by the Obligor. Warehouse Location has being identified and all process of the Loan is still on-going still persist.,The Sterling bank here at Borno State Office have being informing us about the processes involved.,We visited the Bank and was told the transaction is presently at the Credit Unit department.,BORNO,0
