iter	Passed	Remaining
0	3	8807
1	8	11159
2	14	11865
3	17	10710
4	22	11216
5	28	11674
6	33	11894
7	38	12057
8	66	18304
9	75	18772
10	102	23225
11	111	23109
12	136	26196
13	143	25564
14	153	25499
15	173	26886
16	179	26229
17	203	28059
18	210	27506
19	218	27133
20	230	27202
21	235	26570
22	244	26328
23	252	26080
24	261	25864
25	266	25375
26	272	24917
27	296	26155
28	301	25726
29	310	25560
30	324	25864
31	333	25722
32	344	25790
33	371	26924
34	383	26975
35	397	27211
36	423	28165
37	441	28584
38	446	28193
39	458	28225
40	476	28600
41	482	28234
42	498	28493
43	517	28909
44	531	29023
45	541	28889
46	547	28567
47	553	28265
48	573	28672
49	580	28443
50	586	28150
51	595	28057
52	615	28395
53	625	28315
54	635	28256
55	641	27998
56	650	27868
57	656	27640
58	661	27386
59	673	27387
60	694	27751
61	706	27770
62	730	28255
63	742	28255
64	750	28119
65	761	28099
66	786	28545
67	802	28686
68	812	28616
69	829	28795
70	837	28667
71	843	28437
72	857	28511
73	875	28699
74	891	28838
75	897	28622
76	915	28795
77	923	28677
78	935	28676
79	947	28658
80	958	28633
81	967	28515
82	985	28683
83	1000	28790
84	1012	28765
85	1017	28569
86	1023	28376
87	1038	28453
88	1056	28621
89	1068	28606
90	1076	28502
91	1092	28602
92	1101	28517
93	1126	28842
94	1142	28925
95	1148	28753
96	1162	28801
97	1171	28717
98	1201	29144
99	1210	29061
100	1222	29031
101	1227	28868
102	1249	29085
103	1261	29059
104	1269	28965
105	1296	29277
106	1308	29259
107	1326	29371
108	1340	29413
109	1349	29330
110	1361	29297
111	1369	29203
112	1393	29437
113	1400	29308
114	1409	29223
115	1420	29199
116	1434	29220
117	1449	29263
118	1469	29392
119	1474	29250
120	1483	29161
121	1504	29320
122	1513	29242
123	1521	29152
124	1538	29240
125	1547	29156
126	1552	29015
127	1574	29180
128	1586	29155
129	1603	29226
130	1609	29097
131	1617	29016
132	1625	28935
133	1631	28802
134	1649	28900
135	1667	28990
136	1673	28863
137	1686	28860
138	1702	28915
139	1711	28847
140	1716	28724
141	1732	28764
142	1741	28704
143	1748	28600
144	1754	28498
145	1761	28396
146	1791	28682
147	1803	28667
148	1826	28813
149	1834	28743
150	1850	28790
151	1856	28675
152	1868	28655
153	1879	28633
154	1897	28702
155	1902	28589
156	1917	28609
157	1922	28500
158	1933	28470
159	1942	28406
160	1947	28296
161	1973	28485
162	1980	28400
163	1986	28292
164	2006	28393
165	2014	28326
166	2020	28223
167	2045	28395
168	2051	28297
169	2060	28240
170	2065	28136
171	2080	28158
172	2098	28227
173	2120	28349
174	2126	28251
175	2144	28323
176	2156	28301
177	2174	28371
178	2180	28272
179	2195	28303
180	2220	28443
181	2225	28346
182	2234	28286
183	2242	28228
184	2248	28132
185	2262	28149
186	2268	28058
187	2273	27964
188	2282	27906
189	2308	28066
190	2324	28096
191	2342	28153
192	2356	28163
193	2367	28144
194	2381	28147
195	2386	28055
196	2394	27994
197	2407	27984
198	2412	27896
199	2424	27877
200	2429	27788
201	2435	27702
202	2450	27724
203	2455	27640
204	2470	27653
205	2481	27637
206	2493	27622
207	2510	27669
208	2531	27753
209	2547	27781
210	2553	27697
211	2578	27828
212	2584	27749
213	2595	27726
214	2601	27643
215	2609	27592
216	2618	27544
217	2626	27494
218	2635	27448
219	2660	27572
220	2672	27560
221	2684	27543
222	2695	27525
223	2704	27475
224	2721	27517
225	2732	27499
226	2750	27544
227	2756	27470
228	2767	27449
229	2778	27419
230	2805	27554
231	2816	27537
232	2822	27459
233	2830	27409
234	2835	27333
235	2844	27285
236	2849	27210
237	2867	27253
238	2876	27210
239	2881	27137
240	2893	27120
241	2898	27046
242	2904	26974
243	2912	26930
244	2918	26859
245	2926	26812
246	2941	26834
247	2950	26791
248	2957	26732
249	2962	26661
250	2971	26621
251	2976	26555
252	2985	26511
253	2993	26468
254	3001	26425
255	3013	26413
256	3018	26346
257	3024	26279
258	3032	26241
259	3044	26225
260	3052	26186
261	3058	26121
262	3069	26108
263	3081	26098
264	3089	26059
265	3101	26043
266	3126	26150
267	3132	26090
268	3144	26075
269	3171	26190
270	3186	26209
271	3203	26243
272	3209	26179
273	3220	26167
274	3229	26130
275	3236	26077
276	3258	26147
277	3269	26134
278	3284	26144
279	3299	26160
280	3304	26098
281	3330	26194
282	3348	26235
283	3358	26202
284	3363	26142
285	3389	26239
286	3395	26182
287	3420	26268
288	3428	26231
289	3436	26192
290	3448	26180
291	3454	26120
292	3468	26127
293	3474	26067
294	3479	26008
295	3485	25949
296	3496	25935
297	3504	25898
298	3510	25843
299	3516	25786
300	3534	25821
301	3540	25766
302	3548	25733
303	3557	25700
304	3588	25826
305	3594	25773
306	3599	25715
307	3605	25657
308	3622	25688
309	3634	25675
310	3645	25661
311	3657	25650
312	3663	25595
313	3674	25581
314	3680	25526
315	3685	25472
316	3711	25558
317	3723	25550
318	3729	25496
319	3744	25506
320	3752	25475
321	3758	25421
322	3764	25371
323	3771	25327
324	3787	25346
325	3792	25293
326	3804	25281
327	3812	25248
328	3824	25235
329	3829	25183
330	3838	25151
331	3852	25160
332	3861	25129
333	3876	25138
334	3890	25144
335	3902	25131
336	3923	25180
337	3940	25206
338	3953	25200
339	3961	25168
340	3979	25196
341	3989	25174
342	3995	25123
343	4000	25071
344	4018	25098
345	4029	25086
346	4035	25035
347	4061	25115
348	4070	25085
349	4075	25035
350	4100	25102
351	4111	25090
352	4117	25041
353	4122	24993
354	4128	24945
355	4136	24913
356	4145	24886
357	4151	24837
358	4165	24842
359	4174	24814
360	4183	24785
361	4194	24773
362	4203	24744
363	4229	24821
364	4235	24776
365	4247	24766
366	4259	24757
367	4272	24752
368	4286	24756
369	4295	24726
370	4303	24698
371	4324	24736
372	4329	24690
373	4341	24679
374	4355	24683
375	4364	24654
376	4382	24677
377	4399	24698
378	4414	24707
379	4423	24677
380	4428	24631
381	4434	24585
382	4460	24656
383	4476	24665
384	4498	24712
385	4510	24700
386	4515	24656
387	4530	24660
388	4536	24616
389	4551	24623
390	4569	24645
391	4590	24687
392	4596	24643
393	4622	24709
394	4640	24732
395	4652	24720
396	4661	24690
397	4682	24730
398	4699	24748
399	4708	24721
400	4714	24677
401	4719	24633
402	4728	24605
403	4743	24609
404	4762	24637
405	4782	24664
406	4796	24667
407	4814	24686
408	4820	24643
409	4825	24598
410	4846	24631
411	4851	24588
412	4863	24574
413	4877	24577
414	4899	24617
415	4905	24575
416	4928	24620
417	4939	24600
418	4964	24657
419	4970	24615
420	4996	24671
421	5001	24630
422	5010	24601
423	5032	24641
424	5038	24600
425	5044	24557
426	5049	24514
427	5064	24516
428	5069	24473
429	5075	24432
430	5080	24390
431	5089	24362
432	5106	24376
433	5121	24379
434	5133	24368
435	5150	24382
436	5158	24354
437	5182	24398
438	5197	24399
439	5215	24417
440	5230	24418
441	5235	24378
442	5250	24378
443	5265	24382
444	5277	24369
445	5301	24413
446	5308	24379
447	5333	24429
448	5361	24493
449	5371	24469
450	5377	24430
451	5385	24402
452	5414	24466
453	5446	24546
454	5453	24512
455	5469	24515
456	5485	24521
457	5493	24494
458	5511	24509
459	5517	24469
460	5525	24440
461	5534	24414
462	5543	24387
463	5569	24440
464	5588	24455
465	5614	24505
466	5623	24480
467	5638	24481
468	5664	24529
469	5679	24531
470	5688	24505
471	5694	24464
472	5705	24451
473	5718	24442
474	5733	24442
475	5758	24485
476	5764	24448
477	5774	24425
478	5782	24397
479	5787	24357
480	5808	24381
481	5820	24368
482	5825	24329
483	5834	24300
484	5839	24261
485	5850	24246
486	5876	24290
487	5885	24264
488	5903	24276
489	5918	24276
490	5926	24250
491	5936	24226
492	5941	24188
493	5949	24160
494	5963	24156
495	5972	24132
496	5981	24106
497	5996	24106
498	6014	24118
499	6026	24107
500	6041	24104
501	6049	24078
502	6071	24103
503	6088	24113
504	6097	24086
505	6109	24075
506	6127	24086
507	6138	24071
508	6147	24046
509	6165	24057
510	6174	24032
511	6185	24018
512	6191	23981
513	6199	23954
514	6214	23953
515	6223	23929
516	6231	23901
517	6236	23863
518	6242	23826
519	6247	23788
520	6252	23751
521	6264	23737
522	6275	23723
523	6281	23687
524	6293	23674
525	6298	23638
526	6307	23613
527	6316	23590
528	6325	23567
529	6342	23576
530	6351	23553
531	6371	23571
532	6383	23558
533	6392	23534
534	6411	23547
535	6416	23511
536	6438	23536
537	6444	23501
538	6452	23477
539	6464	23463
540	6475	23449
541	6481	23414
542	6507	23454
543	6519	23443
544	6525	23408
545	6537	23394
546	6548	23381
547	6554	23346
548	6562	23321
549	6574	23308
550	6588	23304
551	6616	23349
552	6642	23386
553	6664	23408
