iter	Passed	Remaining
0	197	197551
1	199	99650
2	201	67029
3	203	50668
4	205	40887
5	207	34361
6	209	29651
7	210	26144
8	212	23413
9	214	21244
10	216	19453
11	218	17959
12	220	16711
13	222	15642
14	223	14703
15	225	13890
16	227	13175
17	229	12539
18	232	11979
19	233	11452
20	235	10987
21	237	10550
22	239	10163
23	241	9809
24	243	9481
25	245	9185
26	246	8894
27	248	8639
28	250	8396
29	252	8170
30	254	7958
31	256	7764
32	258	7579
33	260	7399
34	262	7239
35	264	7077
36	266	6930
37	268	6790
38	270	6661
39	272	6538
40	274	6421
41	276	6300
42	278	6193
43	280	6090
44	282	5995
45	284	5903
46	286	5813
47	288	5728
48	290	5643
49	292	5556
50	294	5483
51	296	5410
52	298	5340
53	300	5272
54	303	5219
55	305	5157
56	307	5090
57	309	5023
58	311	4967
59	313	4911
60	315	4855
61	317	4804
62	319	4754
63	321	4700
64	323	4655
65	325	4608
66	327	4564
67	329	4518
68	331	4477
69	333	4434
70	335	4390
71	337	4344
72	339	4306
73	341	4269
74	343	4231
75	345	4196
76	347	4160
77	349	4127
78	351	4095
79	353	4063
80	355	4032
81	357	4001
82	359	3968
83	360	3935
84	362	3904
85	364	3877
86	366	3850
87	368	3823
88	370	3797
89	373	3776
90	375	3751
91	377	3727
92	379	3702
93	381	3675
94	383	3652
95	384	3625
96	386	3599
97	388	3576
98	390	3550
99	392	3528
100	393	3503
101	395	3482
102	397	3460
103	399	3439
104	400	3417
105	402	3395
106	404	3376
107	406	3358
108	408	3339
109	410	3321
110	412	3303
111	414	3286
112	416	3268
113	418	3250
114	420	3235
115	422	3218
116	424	3201
117	426	3185
118	427	3168
119	429	3151
120	431	3136
121	433	3121
122	435	3106
123	437	3091
124	439	3075
125	441	3060
126	443	3045
127	445	3031
128	446	3017
129	448	3004
130	450	2991
131	452	2977
132	454	2962
133	456	2949
134	458	2935
135	460	2922
136	461	2909
137	463	2894
138	465	2880
139	466	2866
140	468	2854
141	470	2842
142	472	2829
143	474	2818
144	476	2807
145	477	2794
146	479	2783
147	481	2770
148	483	2759
149	485	2749
150	486	2736
151	488	2726
152	490	2715
153	492	2705
154	494	2695
155	496	2685
156	498	2674
157	499	2663
158	501	2653
159	503	2643
160	505	2631
161	507	2622
162	508	2612
163	510	2602
164	512	2594
165	514	2585
166	516	2575
167	518	2566
168	519	2556
169	521	2545
170	523	2537
171	525	2528
172	527	2520
173	528	2510
174	530	2502
175	532	2493
176	534	2485
177	536	2476
178	538	2467
179	540	2460
180	541	2451
181	543	2443
182	545	2434
183	547	2426
184	549	2418
185	550	2411
186	552	2404
187	554	2396
188	556	2389
189	559	2386
