iter	Logloss
0	0.6914921866
1	0.689868875
2	0.6882766481
3	0.6867149186
4	0.6851831099
5	0.6836806557
6	0.6822070001
7	0.6807615971
8	0.6758462065
9	0.6707110829
10	0.6661772311
11	0.6646862067
12	0.6600985876
13	0.6588123736
14	0.6509435934
15	0.6465715805
16	0.6453419674
17	0.6428681333
18	0.6416897544
19	0.640508802
20	0.6391058755
21	0.6379948274
22	0.6367946394
23	0.6356950443
24	0.6346464326
25	0.6336187419
26	0.632610795
27	0.6294120644
28	0.6284443334
29	0.6274951464
30	0.6242989603
31	0.6232979598
32	0.6219516695
33	0.6164617334
34	0.6154307797
35	0.6144716701
36	0.6112777469
37	0.6097414532
38	0.6089474349
39	0.6022697799
40	0.5980150722
41	0.597254468
42	0.5943334572
43	0.5916667059
44	0.5851545024
45	0.5836250687
46	0.5829243934
47	0.5822371708
48	0.5785834276
49	0.5779225991
50	0.5772744499
51	0.5762199272
52	0.574099785
53	0.571422439
54	0.5707665791
55	0.5701778054
56	0.5693617306
57	0.5687957762
58	0.568240676
59	0.5660641326
60	0.5631750552
61	0.5621758973
62	0.5593600051
63	0.5584427523
64	0.5578815113
65	0.5562951455
66	0.5529515631
67	0.5522157807
68	0.551712871
69	0.5502357764
70	0.5497303559
71	0.5493111196
72	0.5478533849
73	0.5463943413
74	0.5438580646
75	0.5434685304
76	0.5375416492
77	0.5369959619
78	0.5361402177
79	0.5355686427
80	0.535105208
81	0.5346907179
82	0.5329095807
83	0.5319812889
84	0.5316183933
85	0.5312948728
86	0.5309775268
87	0.530184393
88	0.5285703876
89	0.5280696651
90	0.5274464703
91	0.5266193229
92	0.5244397395
93	0.5229269677
94	0.5170016518
95	0.5167265358
96	0.5161024412
97	0.5158375425
98	0.51310606
99	0.5122931143
100	0.5116066878
101	0.5113615427
102	0.5058761381
103	0.5052658805
104	0.5049948015
105	0.4997191037
106	0.4977581506
107	0.4960843281
108	0.493627647
109	0.4934050166
110	0.4925427014
111	0.4922849207
112	0.4916987514
113	0.491495391
114	0.4912904218
115	0.4881955065
116	0.4878894222
117	0.4869250106
118	0.4859626254
119	0.4857770808
120	0.4855361758
121	0.4834979174
122	0.483321431
123	0.4830812418
124	0.482063946
125	0.4818929614
126	0.4817301545
127	0.476589751
128	0.4758131039
129	0.4730595557
130	0.4729045238
131	0.472738217
132	0.4725548506
133	0.4724085332
134	0.4670774443
135	0.4616623473
136	0.4615169413
137	0.4613544091
138	0.4598745376
139	0.4597304886
140	0.4595947218
141	0.4590953553
142	0.454667549
143	0.4545339694
144	0.4544029221
145	0.4542743575
146	0.4524970369
147	0.4522972493
148	0.4515032009
149	0.4513748878
150	0.4497069573
151	0.449589727
152	0.4488975244
153	0.4486588146
154	0.4479044061
155	0.4477966266
156	0.4461088191
157	0.44600415
158	0.4457915188
159	0.4456570947
160	0.4455583965
161	0.4417831341
162	0.4416870533
163	0.4415927889
164	0.4403064837
